, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
,"10,000-11,000'",34,34,0.7,0.6,9.9,"19,199",586,1.9 ( 4 ),0.9 ( 4 ),6.0 ( 4 )
,"11,000-12,000'",59,54,5.4,4.7,51.8,"108,838",433,6.3 ( 1 ),2.8 ( 1 ),NA
,"12,000-13,000'",65,56,9.3,7.7,77,"101,112",248,NA,NA,NA
,">13,000'",64,61,10.2,9.5,82.9,"20,319",40,NA,NA,NA
27. Upper Colorado-Dirty Devil,"7,000-8,000'",16,0,0,0,0,0,"1,116",NA,NA,NA
,"8,000-9,000'",25,2,0,0,0,69,785,0.0 ( 2 ),0.0 ( 2 ),0.8 ( 2 )
,"9,000-10,000'",24,13,0.5,0.3,4.1,"5,847",428,0.3 ( 5 ),0.1 ( 5 ),NA
,"10,000-11,000'",31,32,2,1.8,23.5,"19,736",209,NA,NA,NA
,"11,000-12,000'",51,66,4.3,5,63.3,"15,417",58,NA,NA,NA
28. Upper Colorado-Dolores§,"7,000-8,000'",5,0,0,0,0,0,"1,409",NA,NA,NA
,"8,000-9,000'",9,5,0,0,0.2,246,"1,082",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",16,9,0.2,0.1,2,"1,934",500,0.0 ( 3 ),0.0 ( 3 ),3.5 ( 2 )
,"10,000-11,000'",37,34,2.1,2.5,24.1,"37,525",280,4.6 ( 3 ),1.6 ( 4 ),NA
,"11,000-12,000'",44,50,6.5,9.9,68.1,"63,969",121,16.8 ( 1 ),16.2 ( 1 ),NA
,"12,000-13,000'",51,54,10.3,11.9,93.8,"23,990",38,NA,NA,NA
,"13,000-14,000'",52,49,11.6,13.2,99.1,"2,586",4,NA,NA,NA
29. Upper Sevier,"6,000-7,000'",>300†,0,0,0,0,0,831,NA,NA,NA
,"7,000-8,000'",35,8,0,0,0.1,100,"1,307",0.0 ( 2 ),0.0 ( 2 ),0.0 ( 1 )
,"8,000-9,000'",22,12,0.1,0.1,1.7,"2,499",928,0.3 ( 4 ),0.0 ( 4 ),0.0 ( 1 )
,"9,000-10,000'",25,27,0.9,0.7,12.8,"20,479",521,4.5 ( 9 ),3.4 ( 9 ),NA
,"10,000-11,000'",42,47,3.5,3.3,43.2,"28,306",161,0.1 ( 1 ),0.1 ( 1 ),NA
,"11,000-12,000'",52,54,7.8,7.5,80.5,"3,750",9,NA,NA,NA
30. Verde,"6,000-7,000'",>300†,NA,0,0,0,0,"1,299",0.4 ( 1 ),0.4 ( 1 ),NA
,"7,000-8,000'",274,15,0,0,0,2,496,0.1 ( 6 ),0.1 ( 6 ),NA
,"8,000-9,000'",51,12,0.1,0,0.8,16,18,NA,NA,NA
,"9,000-10,000'",83,15,0.7,0.2,5.1,18,2,NA,NA,NA
,">10,000'",44,45,2.3,2.8,39.2,189,1,NA,NA,NA
31. Weber-Ogden,"5,000-6,000'",93,12,0,0,0,6,288,NA,NA,NA
,"6,000-7,000'",61,16,0.1,0,0.4,534,712,1.3 ( 3 ),0.0 ( 3 ),NA
,"7,000-8,000'",58,27,1,0.3,6.4,"12,487",675,10.5 ( 6 ),6.5 ( 7 ),NA
,"8,000-9,000'",68,54,5.6,3.4,45.6,"43,000",234,10.4 ( 5 ),7.0 ( 5 ),NA
,"9,000-10,000'",63,60,9.9,8.2,78.6,"42,142",96,15.6 ( 2 ),13.1 ( 2 ),NA
,">10,000'",65,59,13.3,11.4,91,"21,309",35,NA,NA,NA
32. White-Yampa§,"7,000-8,000'",26,8,0.1,0,0.2,"1,497","3,360",0.0 ( 1 ),0.0 ( 1 ),1.8 ( 1 )
,"8,000-9,000'",71,47,2.8,1.3,18.6,"101,220","1,446",8.4 ( 6 ),6.3 ( 6 ),8.9 ( 3 )
,"9,000-10,000'",69,64,10,8.5,74.5,"315,687",700,11.9 ( 6 ),10.3 ( 6 ),NA
,"10,000-11,000'",68,59,15.3,13.1,88.9,"252,442",362,31.7 ( 2 ),31.8 ( 2 ),NA
,">11,000'",73,60,17.7,15,96.3,"63,641",80,NA,NA,NA
