,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
38. Upper Humboldt,"6,000-7,000'",0,0,0,0,0,0,"1,944.70",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 3 ),0
38. Upper Humboldt,"7,000-8,000'",5,1,0.4,0.1,1,"1,186",436.8,0.2 ( 2 ),0.0 ( 2 ),0.1 ( 6 ),0
38. Upper Humboldt,"8,000-9,000'",33,19,4.3,2.3,25.6,"18,532",150.5,3.1 ( 5 ),2.1 ( 5 ),2.9 ( 3 ),0.7
38. Upper Humboldt,"9,000-10,000'",55,43,9.1,7.1,54.4,"32,941",87.2,NA,NA,NA,2.7
38. Upper Humboldt,">10,000'",66,54,11.3,9.4,62.1,"10,405",20.8,NA,NA,NA,4.2
39. Walker,"6,000-7,000'",0,0,0,0,0,0,677,NA,NA,NA,0
39. Walker,"7,000-8,000'",3,1,0.1,0,0.3,358,618.8,0.0 ( 1 ),0.0 ( 1 ),NA,0
39. Walker,"8,000-9,000'",18,9,1.7,0.6,11.4,"11,714",373.7,8.4 ( 2 ),4.8 ( 2 ),NA,0.8
39. Walker,"9,000-10,000'",33,20,6.1,3.6,47.5,"35,464",186.6,15.0 ( 4 ),11.3 ( 4 ),NA,7.1
39. Walker,"10,000-11,000'",39,25,8.8,5.8,59.8,"22,944",74.8,NA,NA,NA,7.9
39. Walker,">11,000'",45,30,8.3,5.4,52.5,"3,466",12,NA,NA,NA,6.4
40. West Central Basins,"4,000-5,000'",4,1,0.2,0,0.5,"1,931","1,578.50",0.0 ( 3 ),0.0 ( 3 ),0.0 ( 1 ),0
40. West Central Basins,"5,000-6,000'",25,13,2.4,1.2,14.5,"105,081","1,710.20",3.5 ( 3 ),2.5 ( 3 ),0.0 ( 2 ),0.9
40. West Central Basins,"6,000-7,000'",61,45,8.9,7,56.4,"469,285","1,262.20",15.1 ( 8 ),12.5 ( 8 ),3.2 ( 4 ),6.6
40. West Central Basins,"7,000-8,000'",84,69,15.6,14.1,85.2,"610,937",814.3,20.1 ( 3 ),18.6 ( 3 ),NA,15.5
40. West Central Basins,"8,000-9,000'",92,76,19.8,18.1,90.7,"282,679",293.5,NA,NA,NA,22
40. West Central Basins,">9,000'",99,81,22.8,20.6,87,"47,626",43.4,NA,NA,NA,25.4
