,,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,Elevation Band,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
25. Toole Valley-Vernon Creek,"5,000-6,000'",0,12,0,0.2,6.1,"6,891",559,NA,NA,0.2
25. Toole Valley-Vernon Creek,"6,000-7,000'",0,18,0,0.9,19.8,"8,484",185.4,0.6 ( 1 ),1.2 ( 1 ),0.7
25. Toole Valley-Vernon Creek,"7,000-8,000'",6,23,0.4,1.7,23.9,"9,569",104.6,0.5 ( 1 ),1.5 ( 1 ),2
25. Toole Valley-Vernon Creek,"8,000-9,000'",34,51,3.2,5.3,60.6,"11,830",41.6,3.9 ( 1 ),5.9 ( 1 ),5.1
25. Toole Valley-Vernon Creek,">9,000'",59,69,6.9,8.9,88.2,"5,459",11.5,5.6 ( 1 ),7.3 ( 1 ),7.6
26. Upper Arkansas,"7,000-8,000'",0,0,0,0,0,28,"1,757.80",NA,NA,0
26. Upper Arkansas,"8,000-9,000'",2,4,0,0.1,4.2,"7,786","1,500.90",NA,NA,0.1
26. Upper Arkansas,"9,000-10,000'",7,10,0.2,0.4,10.4,"29,386","1,320.60",0.2 ( 1 ),0.6 ( 1 ),0.4
26. Upper Arkansas,"10,000-11,000'",18,24,0.9,1.3,21.5,"42,003",587.6,2.9 ( 3 ),3.8 ( 3 ),2.4
26. Upper Arkansas,"11,000-12,000'",49,58,4.3,5.6,63,"129,460",432.6,3.8 ( 2 ),4.6 ( 2 ),4.1
26. Upper Arkansas,"12,000-13,000'",57,62,6.5,7.7,78.1,"104,028",252.1,NA,NA,3.8
26. Upper Arkansas,">13,000'",60,64,7.4,8.6,75.7,"18,681",40.6,NA,NA,2.8
27. Upper Colorado-Dirty Devil,"7,000-8,000'",0,19,0,0.6,23,"33,947","1,119.20",NA,NA,1
27. Upper Colorado-Dirty Devil,"8,000-9,000'",2,17,0.1,1,25.6,"42,008",790.4,1.7 ( 2 ),2.5 ( 2 ),1.9
27. Upper Colorado-Dirty Devil,"9,000-10,000'",23,43,1.7,3.3,44.7,"76,146",428,2.8 ( 4 ),4.0 ( 4 ),4.4
27. Upper Colorado-Dirty Devil,"10,000-11,000'",57,84,4.4,7,74.6,"79,793",213.3,8.1 ( 1 ),11.3 ( 1 ),8.2
27. Upper Colorado-Dirty Devil,"11,000-12,000'",68,91,6.5,9.6,87.6,"29,111",57.1,NA,NA,9.9
28. Upper Colorado-Dolores,"7,000-8,000'",4,17,0.1,0.6,24.3,"43,331","1,427.70",NA,NA,0.8
28. Upper Colorado-Dolores,"8,000-9,000'",25,36,1.6,2.4,54.3,"137,922","1,083.70",2.2 ( 1 ),3.0 ( 1 ),3.1
28. Upper Colorado-Dolores,"9,000-10,000'",46,56,3.6,4.8,79.8,"126,853",499.1,6.1 ( 3 ),7.7 ( 3 ),6.3
