,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
25. Toole Valley-Vernon Creek,">9,000'",69,68,8.9,9.6,89.5,"5,876",11.5,7.3 ( 1 ),7.9 ( 1 ),NA,8.7
26. Upper Arkansas,"7,000-8,000'",0,0,0,0,0,0,"1,757.80",NA,NA,NA,0
26. Upper Arkansas,"8,000-9,000'",4,1,0.1,0,0.7,"1,562","1,500.90",NA,NA,NA,0
26. Upper Arkansas,"9,000-10,000'",10,9,0.4,0.3,6.5,"23,787","1,320.60",0.6 ( 1 ),0.0 ( 1 ),2.0 ( 1 ),0.2
26. Upper Arkansas,"10,000-11,000'",24,28,1.3,1.6,22.3,"49,948",587.6,3.8 ( 3 ),4.0 ( 3 ),NA,2.1
26. Upper Arkansas,"11,000-12,000'",58,63,5.6,6.4,61.1,"147,906",432.6,4.6 ( 2 ),4.6 ( 2 ),NA,3.9
26. Upper Arkansas,"12,000-13,000'",62,66,7.7,8.5,74.3,"114,815",252.1,NA,NA,NA,3.4
26. Upper Arkansas,">13,000'",64,67,8.6,9.5,74.5,"20,600",40.6,NA,NA,NA,2.1
27. Upper Colorado-Dirty Devil,"7,000-8,000'",19,18,0.6,0.5,33,"29,387","1,119.20",NA,NA,NA,0.1
27. Upper Colorado-Dirty Devil,"8,000-9,000'",17,24,1,1.2,41.1,"52,313",790.4,2.5 ( 2 ),2.0 ( 2 ),NA,0.7
27. Upper Colorado-Dirty Devil,"9,000-10,000'",43,52,3.3,4.2,60.7,"96,475",428,4.0 ( 4 ),3.6 ( 4 ),NA,3.3
27. Upper Colorado-Dirty Devil,"10,000-11,000'",84,80,7,7.4,77.8,"84,460",213.3,11.3 ( 1 ),11.6 ( 1 ),NA,8.6
27. Upper Colorado-Dirty Devil,"11,000-12,000'",91,86,9.6,9.9,83.8,"30,142",57.1,NA,NA,NA,11.1
28. Upper Colorado-Dolores,"7,000-8,000'",17,22,0.6,0.6,28.1,"47,128","1,427.70",NA,NA,NA,0.1
28. Upper Colorado-Dolores,"8,000-9,000'",36,43,2.4,2.7,71.1,"156,534","1,083.70",3.0 ( 1 ),2.4 ( 1 ),NA,2.3
28. Upper Colorado-Dolores,"9,000-10,000'",56,55,4.8,4.8,81.3,"126,773",499.1,7.7 ( 3 ),7.5 ( 3 ),NA,6.3
28. Upper Colorado-Dolores,"10,000-11,000'",63,64,5.2,5.8,69.1,"85,327",278.1,8.9 ( 4 ),8.7 ( 4 ),NA,9.6
28. Upper Colorado-Dolores,"11,000-12,000'",67,68,8.1,9,76.8,"59,394",123.5,12.4 ( 1 ),12.6 ( 1 ),NA,11.1
28. Upper Colorado-Dolores,"12,000-13,000'",67,67,10.5,11.5,87.7,"23,225",37.8,NA,NA,NA,8.2
28. Upper Colorado-Dolores,"13,000-14,000'",63,65,11,12.1,91.5,"2,185",3.4,NA,NA,NA,5.1
29. Upper Sevier,"6,000-7,000'",6,6,0.2,0.1,17.6,"2,856",843.9,NA,NA,NA,0.4
29. Upper Sevier,"7,000-8,000'",14,18,0.7,0.6,45.8,"38,521","1,292.30",2.3 ( 2 ),0.6 ( 2 ),3.9 ( 1 ),0.6
29. Upper Sevier,"8,000-9,000'",29,35,1.9,2.2,65,"111,876",935.6,3.9 ( 5 ),2.8 ( 5 ),NA,1.7
29. Upper Sevier,"9,000-10,000'",59,62,5,5.6,71.8,"156,835",526.7,6.3 ( 8 ),6.0 ( 8 ),NA,4.3
29. Upper Sevier,"10,000-11,000'",86,80,8.2,8.5,84,"72,529",159.2,7.1 ( 1 ),6.8 ( 1 ),NA,6.9
29. Upper Sevier,"11,000-12,000'",77,71,9.8,10,68.6,"5,368",10,NA,NA,NA,7.5
30. Verde,"6,000-7,000'",29,3,0.4,0,1.7,"1,183","1,302.50",2.2 ( 1 ),0.0 ( 1 ),NA,0
30. Verde,"7,000-8,000'",18,12,0.6,0.3,23.4,"7,011",495.6,2.3 ( 6 ),0.6 ( 6 ),NA,0
30. Verde,"8,000-9,000'",32,26,1.7,1.2,42.8,"1,227",19.4,NA,NA,NA,0
30. Verde,"9,000-10,000'",21,22,1.7,1.7,34.2,187,2,NA,NA,NA,1
30. Verde,">10,000'",0,38,0,3.6,29.6,222,1.2,NA,NA,NA,9.6
31. Weber-Ogden,"5,000-6,000'",8,15,0.4,0.7,23.4,"10,033",288.1,NA,NA,NA,0.2
31. Weber-Ogden,"6,000-7,000'",20,23,1.5,1.6,39.7,"60,301",713.6,2.7 ( 2 ),1.8 ( 2 ),NA,0.5
31. Weber-Ogden,"7,000-8,000'",46,45,4.6,4.8,73.5,"172,794",677.5,7.7 ( 8 ),7.5 ( 8 ),NA,3.3
31. Weber-Ogden,"8,000-9,000'",70,67,8.6,9.3,93.7,"117,214",235.3,9.7 ( 5 ),10.5 ( 5 ),NA,9.7
31. Weber-Ogden,"9,000-10,000'",79,77,10.4,11.6,94.6,"61,114",99,11.7 ( 2 ),12.8 ( 2 ),NA,12.6
31. Weber-Ogden,">10,000'",81,80,11.7,13,86.7,"22,934",33,NA,NA,NA,14.6
32. White-Yampa,"7,000-8,000'",31,34,2.1,2.4,37.6,"424,964","3,361.90",4.5 ( 1 ),4.5 ( 1 ),7.3 ( 1 ),0.9
32. White-Yampa,"8,000-9,000'",59,58,5.5,5.9,74.8,"458,866","1,449.70",8.8 ( 6 ),9.6 ( 6 ),5.5 ( 2 ),4.9
