,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
21. E Carson§,"7,000-8,000'",18,5,1.3,0.5,9.6,"2,595",100.2,5.5 ( 1 ),1.0 ( 1 ),NA,0.5
21. E Carson§,"8,000-9,000'",33,15,4.7,2.5,37.6,"12,917",97.3,8.2 ( 2 ),2.7 ( 2 ),NA,2.8
21. E Carson§,"9,000-10,000'",37,22,7,4.7,63.1,"8,665",34.7,NA,NA,NA,6.6
21. E Carson§,">10,000'",41,25,8.1,5.7,69.4,"3,118",10.2,NA,NA,NA,8.5
22. W Walker,"6,000-7,000'",0,0,0,0,0,0,7.3,NA,NA,NA,0
22. W Walker,"7,000-8,000'",10,2,0.9,0.1,2.3,264,38.7,0.0 ( 1 ),0.0 ( 1 ),NA,0.1
22. W Walker,"8,000-9,000'",35,18,6.1,3.1,41.2,"7,698",46.1,8.4 ( 2 ),4.8 ( 2 ),2.0 ( 2 ),4.5
22. W Walker,"9,000-10,000'",38,22,9.4,6.3,66.4,"20,416",60.8,34.4 ( 1 ),33.6 ( 1 ),NA,13.6
22. W Walker,"10,000-11,000'",39,23,11.1,7.8,68.5,"10,317",24.9,NA,NA,NA,11.2
22. W Walker,"11,000-12,000'",42,25,10.9,7.8,57.8,800,1.9,NA,NA,NA,8.6
23. E Walker,"6,000-7,000'",0,0,0,0,0,0,60.6,NA,NA,NA,0
23. E Walker,"7,000-8,000'",3,1,0.2,0,0.7,124,111.7,NA,NA,NA,0.1
23. E Walker,"8,000-9,000'",17,7,2.2,0.5,16.7,"2,550",88.1,NA,NA,5.0 ( 1 ),1.1
23. E Walker,"9,000-10,000'",32,20,6.2,3.4,52.4,"9,673",53.9,10.6 ( 1 ),7.0 ( 1 ),NA,6.3
23. E Walker,"10,000-11,000'",39,26,9.1,5.8,59.5,"10,736",34.7,NA,NA,NA,8.2
23. E Walker,">11,000'",44,29,9.3,6.3,62.7,"2,469",7.3,NA,NA,NA,7.1
24. Mono,"6,000-7,000'",0,0,0,0,0,0,374.9,NA,NA,NA,0
24. Mono,"7,000-8,000'",8,5,0.2,0.1,1.7,"1,610",392.8,NA,NA,NA,0
24. Mono,"8,000-9,000'",26,14,2,0.8,18,"7,600",178.9,NA,NA,NA,0.2
24. Mono,"9,000-10,000'",31,18,5.6,2.6,58.2,"8,881",64.1,NA,NA,14.7 ( 3 ),5.2
24. Mono,"10,000-11,000'",39,24,9.4,6.1,69.9,"15,296",47.2,NA,NA,25.5 ( 1 ),12.3
24. Mono,"11,000-12,000'",44,27,11.7,8.1,63.9,"10,306",23.7,NA,NA,NA,10.3
24. Mono,"12,000-13,000'",45,28,12.4,8.9,56.5,"2,012",4.2,NA,NA,NA,10.7
25. Upper Owens,"6,000-7,000'",0,0,0,0,0,0,68.6,NA,NA,NA,0
25. Upper Owens,"7,000-8,000'",23,4,1.4,0.2,3.6,"1,727",143.6,NA,NA,NA,0
25. Upper Owens,"8,000-9,000'",43,20,5.7,2.9,42.6,"11,574",75.4,NA,NA,NA,1.7
25. Upper Owens,"9,000-10,000'",37,21,6.4,3.7,58.1,"8,828",44.2,24.8 ( 1 ),18.0 ( 1 ),16.5 ( 1 ),3.5
25. Upper Owens,"10,000-11,000'",36,21,7.8,4.5,64.8,"7,716",32.4,NA,NA,NA,3.4
25. Upper Owens,"11,000-12,000'",42,25,9.8,6.3,59.3,"5,229",15.5,NA,NA,NA,2.2
25. Upper Owens,"12,000-13,000'",47,30,9.9,6.5,59.7,"1,006",2.9,NA,NA,NA,1.1
26. Owens,"5,000-6,000'",0,0,0,0,0,0,421.9,NA,NA,NA,0
26. Owens,"6,000-7,000'",0,0,0,0,0,0,342.5,NA,NA,NA,0
26. Owens,"7,000-8,000'",2,0,0,0,0.2,47,314.8,NA,NA,NA,0
26. Owens,"8,000-9,000'",17,6,0.6,0.2,4.8,"1,577",178.7,NA,NA,0.0 ( 1 ),0
26. Owens,"9,000-10,000'",38,19,3.5,1.5,28.6,"11,729",148.1,4.1 ( 2 ),1.4 ( 2 ),3.2 ( 4 ),0.8
26. Owens,"10,000-11,000'",46,26,6.9,3.8,52.4,"32,762",163.8,13.8 ( 2 ),6.6 ( 2 ),4.0 ( 2 ),3.8
26. Owens,"11,000-12,000'",51,30,10,6.4,57.8,"45,103",132,NA,NA,16.5 ( 1 ),6.9
26. Owens,"12,000-13,000'",53,31,11.5,7.9,57.2,"26,165",62.1,NA,NA,NA,5.5
26. Owens,">13,000'",59,34,10.7,7.7,54.1,"3,749",9.2,NA,NA,NA,3.1
