,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
18. Rio Grande Headwaters,"8,000-9,000'",7,0.3,7.6,"21,507","1,420.70",NA,NA,0.1
18. Rio Grande Headwaters,"9,000-10,000'",20,1,24.4,"64,795","1,270.60",2.6 ( 3 ),NA,1.1
18. Rio Grande Headwaters,"10,000-11,000'",34,1.9,35.9,"114,277","1,141.30",4.0 ( 8 ),NA,2.7
18. Rio Grande Headwaters,"11,000-12,000'",59,4.6,66.8,"205,454",839.3,4.7 ( 4 ),NA,3.7
18. Rio Grande Headwaters,"12,000-13,000'",66,6.4,76.7,"84,404",248.2,NA,NA,3.3
18. Rio Grande Headwaters,"13,000-14,000'",72,6.9,69.8,"4,091",11.1,NA,NA,1.9
19. Roaring Fork,"7,000-8,000'",21,1.4,42.3,"14,852",196.1,NA,NA,1.4
19. Roaring Fork,"8,000-9,000'",34,2.5,55.7,"34,659",262,3.5 ( 1 ),NA,3.1
19. Roaring Fork,"9,000-10,000'",41,3,54.6,"42,386",267.9,5.0 ( 2 ),NA,4.3
19. Roaring Fork,"10,000-11,000'",44,3.7,55.2,"51,916",263.2,6.5 ( 4 ),NA,5.4
19. Roaring Fork,"11,000-12,000'",61,7,85,"93,884",251.7,NA,NA,5.8
19. Roaring Fork,"12,000-13,000'",64,8.1,89.5,"49,073",113.1,NA,NA,4.7
19. Roaring Fork,"13,000-14,000'",68,9.2,85,"3,073",6.3,NA,NA,2.7
20. Salt,"6,000-7,000'",0,0,0,8,"1,239.40",NA,NA,0
20. Salt,"7,000-8,000'",1,0,2.3,962,514.8,0.3 ( 3 ),NA,0
20. Salt,"8,000-9,000'",19,0.7,30.5,"15,582",404,1.6 ( 2 ),NA,1.1
20. Salt,"9,000-10,000'",26,1.3,48.1,"12,193",171,2.1 ( 2 ),NA,2.2
20. Salt,">10,000'",25,1.5,38.9,"2,546",31.5,NA,NA,2.9
21. San Juan**,"7,000-8,000'",4,0.2,9.6,"30,508","3,769.40",NA,NA,0
21. San Juan**,"8,000-9,000'",9,0.5,16.1,"24,909","1,062.20",1.8 ( 2 ),NA,0.6
21. San Juan**,"9,000-10,000'",20,1.2,29.3,"36,023",572.5,2.7 ( 4 ),NA,2.4
21. San Juan**,"10,000-11,000'",41,3.1,49.9,"73,148",449.3,5.9 ( 7 ),NA,4.6
21. San Juan**,"11,000-12,000'",60,5.9,76.2,"121,567",390,6.3 ( 3 ),NA,5.3
21. San Juan**,"12,000-13,000'",66,7.5,84.8,"69,783",175.1,NA,NA,4.4
21. San Juan**,"13,000-14,000'",72,8.7,87.9,"3,266",7.1,NA,NA,2.8
22. San Pitch,"5,000-6,000'",0,0,0.3,70,273.8,NA,NA,0
22. San Pitch,"6,000-7,000'",1,0.1,2.9,747,213.6,NA,NA,0.2
22. San Pitch,"7,000-8,000'",5,0.4,8.8,"2,819",143.1,NA,NA,0.9
22. San Pitch,"8,000-9,000'",37,2.8,48,"17,618",117.4,3.6 ( 4 ),NA,2.4
22. San Pitch,"9,000-10,000'",62,6.1,83.1,"25,031",76.5,7.4 ( 1 ),NA,4.2
22. San Pitch,"10,000-11,000'",62,7.4,89.4,"13,827",34.9,6.5 ( 1 ),NA,5.2
23. South Platte,"7,000-8,000'",1,0,1.8,"3,296","1,420.90",NA,NA,0
23. South Platte,"8,000-9,000'",13,0.4,11.4,"31,400","1,477.20",1.6 ( 3 ),2.0 ( 1 ),0.1
23. South Platte,"9,000-10,000'",15,0.6,12.7,"44,269","1,441.70",5.9 ( 6 ),NA,0.7
23. South Platte,"10,000-11,000'",31,1.5,23.5,"55,693",686.3,4.9 ( 8 ),NA,2.8
23. South Platte,"11,000-12,000'",53,4.1,50.8,"97,412",444.3,4.2 ( 4 ),NA,3.2
23. South Platte,"12,000-13,000'",55,5.1,50.6,"40,849",149.1,NA,NA,2.9
23. South Platte,">13,000'",54,5.2,40.8,"6,265",22.4,NA,NA,1.6
24. Southwestern Utah,"6,000-7,000'",0,0,0,0,975.6,0.0 ( 2 ),NA,0
24. Southwestern Utah,"7,000-8,000'",0,0,0.2,33,265.8,0.0 ( 1 ),NA,0.1
24. Southwestern Utah,"8,000-9,000'",13,0.6,12.9,"4,250",134.1,0.5 ( 2 ),NA,0.8
24. Southwestern Utah,"9,000-10,000'",53,3.5,63.6,"11,250",60.4,NA,NA,2.5
24. Southwestern Utah,">10,000'",62,5,70.8,"2,915",11,6.5 ( 1 ),NA,3.9
25. Toole Valley-Vernon Creek,"5,000-6,000'",0,0,0,34,559,NA,NA,0
25. Toole Valley-Vernon Creek,"6,000-7,000'",3,0.1,1.5,"1,091",185.4,0.8 ( 1 ),NA,0.1
25. Toole Valley-Vernon Creek,"7,000-8,000'",14,0.9,12.1,"4,982",104.6,0.0 ( 1 ),NA,1
25. Toole Valley-Vernon Creek,"8,000-9,000'",45,3.7,50.2,"8,210",41.6,4.0 ( 1 ),NA,3.1
25. Toole Valley-Vernon Creek,">9,000'",63,6.4,76.6,"3,899",11.5,5.0 ( 1 ),NA,5.3
26. Upper Arkansas,"7,000-8,000'",3,0,3.7,"4,327","1,757.80",NA,NA,0
26. Upper Arkansas,"8,000-9,000'",11,0.3,10.4,"22,088","1,500.90",NA,NA,0
26. Upper Arkansas,"9,000-10,000'",16,0.6,15.3,"40,746","1,320.60",0.6 ( 1 ),NA,0.2
26. Upper Arkansas,"10,000-11,000'",25,1.1,21.3,"33,048",587.6,2.6 ( 3 ),NA,1.4
26. Upper Arkansas,"11,000-12,000'",53,3.9,55.7,"90,727",432.6,3.5 ( 2 ),NA,2.6
26. Upper Arkansas,"12,000-13,000'",62,6,67,"80,642",252.1,NA,NA,2.4
26. Upper Arkansas,">13,000'",66,6.9,61.4,"14,853",40.6,NA,NA,1.5
27. Upper Colorado-Dirty Devil,"7,000-8,000'",1,0,1.8,"2,400","1,119.20",NA,NA,0
27. Upper Colorado-Dirty Devil,"8,000-9,000'",5,0.3,5.9,"12,307",790.4,1.2 ( 2 ),9.2 ( 1 ),0.8
27. Upper Colorado-Dirty Devil,"9,000-10,000'",33,2.1,31.3,"48,614",428,2.5 ( 4 ),NA,2.4
27. Upper Colorado-Dirty Devil,"10,000-11,000'",62,4.2,58.5,"47,411",213.3,7.5 ( 1 ),NA,5.5
27. Upper Colorado-Dirty Devil,"11,000-12,000'",72,6,79.8,"18,220",57.1,NA,NA,7.2
28. Upper Colorado-Dolores,"7,000-8,000'",20,0.9,38,"66,632","1,427.70",NA,NA,0.2
28. Upper Colorado-Dolores,"8,000-9,000'",36,2.2,60,"125,917","1,083.70",1.9 ( 1 ),NA,1.3
28. Upper Colorado-Dolores,"9,000-10,000'",47,3.4,74,"90,822",499.1,5.2 ( 3 ),NA,3.1
28. Upper Colorado-Dolores,"10,000-11,000'",50,3.4,58.4,"49,827",278.1,5.5 ( 4 ),NA,5.4
28. Upper Colorado-Dolores,"11,000-12,000'",58,5.6,72.5,"36,695",123.5,8.1 ( 1 ),NA,6.3
28. Upper Colorado-Dolores,"12,000-13,000'",62,7.8,87.6,"15,673",37.8,NA,NA,4.4
28. Upper Colorado-Dolores,"13,000-14,000'",69,9.2,93.4,"1,663",3.4,NA,NA,2.4
29. Upper Sevier,"6,000-7,000'",1,0.1,3.8,"2,974",843.9,NA,NA,0.5
29. Upper Sevier,"7,000-8,000'",5,0.3,8.6,"20,846","1,292.30",0.9 ( 2 ),NA,0.3
29. Upper Sevier,"8,000-9,000'",15,0.9,17.5,"43,777",935.6,2.1 ( 5 ),NA,0.8
29. Upper Sevier,"9,000-10,000'",46,3.2,52.6,"90,497",526.7,4.0 ( 8 ),NA,2.5
29. Upper Sevier,"10,000-11,000'",68,5.3,75.7,"45,092",159.2,5.0 ( 1 ),NA,4.3
29. Upper Sevier,"11,000-12,000'",69,7.2,87.2,"3,839",10,NA,NA,4.4
30. Verde,"6,000-7,000'",0,0,0,0,"1,302.50",0.0 ( 1 ),NA,0
30. Verde,"7,000-8,000'",0,0,0.1,64,495.6,0.8 ( 6 ),NA,0
30. Verde,"8,000-9,000'",2,0.1,1.5,89,19.4,NA,NA,0.1
30. Verde,"9,000-10,000'",9,0.6,10.9,64,2,NA,NA,1.2
30. Verde,">10,000'",7,0.4,5.1,27,1.2,NA,NA,7.9
31. Weber-Ogden,"5,000-6,000'",4,0.3,9.2,"4,298",288.1,NA,NA,0.4
31. Weber-Ogden,"6,000-7,000'",11,0.8,13.5,"28,933",713.6,1.4 ( 2 ),NA,0.6
31. Weber-Ogden,"7,000-8,000'",40,3.4,48.9,"122,370",677.5,5.4 ( 8 ),NA,2.6
31. Weber-Ogden,"8,000-9,000'",63,6.4,82.3,"79,891",235.3,6.8 ( 5 ),NA,6.5
31. Weber-Ogden,"9,000-10,000'",71,7.5,83.1,"39,481",99,8.2 ( 2 ),NA,8.1
31. Weber-Ogden,">10,000'",77,8.9,81.5,"15,668",33,NA,NA,9.4
32. White-Yampa,"7,000-8,000'",39,2.5,40.9,"441,757","3,361.90",3.2 ( 1 ),NA,0.7
32. White-Yampa,"8,000-9,000'",60,4.6,76.4,"354,464","1,449.70",6.5 ( 6 ),12.0 ( 1 ),3.3
32. White-Yampa,"9,000-10,000'",62,5.4,79.6,"202,577",706.6,8.0 ( 7 ),NA,6.3
32. White-Yampa,"10,000-11,000'",64,6.5,81.2,"122,588",354.1,8.3 ( 1 ),NA,8.8
32. White-Yampa,">11,000'",65,7.9,89.7,"33,926",80.2,6.8 ( 1 ),NA,7.6
33. Animas,"7,000-8,000'",0,0,0.7,77,161.3,NA,NA,0
33. Animas,"8,000-9,000'",3,0.2,6.8,"1,103",135.9,1.6 ( 1 ),NA,0.4
33. Animas,"9,000-10,000'",12,0.7,18.6,"7,018",178.9,NA,NA,1.9
33. Animas,"10,000-11,000'",37,2.7,44,"25,793",178.4,5.1 ( 3 ),NA,4.1
33. Animas,"11,000-12,000'",59,5.8,76.8,"46,689",151.1,5.9 ( 2 ),NA,5.4
33. Animas,"12,000-13,000'",66,7.6,86.1,"44,845",110.7,NA,NA,4.6
33. Animas,"13,000-14,000'",72,8.7,89.6,"2,914",6.3,NA,NA,2.9
