,,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,Elevation Band,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
26. Northern Great Basin,"8,000-9,000'",57,31,6.8,3.7,34.2,"8,086",41.4,NA,NA,0
26. Northern Great Basin,"9,000-10,000'",59,35,8.2,5,35.8,103,0.4,NA,NA,0.7
27. Panhandle Basins,"3,000-4,000'",44,32,0.9,0.5,8.2,"19,896",706,0.3 ( 1 ),0.3 ( 1 ),1.8
27. Panhandle Basins,"4,000-5,000'",89,71,4.6,3.7,33.8,"100,533",508.9,26.0 ( 1 ),23.8 ( 1 ),10.1
27. Panhandle Basins,"5,000-6,000'",131,119,12.6,12.3,66.1,"227,300",345.4,NA,NA,19.7
27. Panhandle Basins,"6,000-7,000'",166,155,18.8,19.3,82.9,"84,630",82.3,31.8 ( 1 ),31.6 ( 1 ),27.5
27. Panhandle Basins,"7,000-8,000'",178,165,17.9,18.3,89,"1,975",2,NA,NA,23.6
28. Reese,"7,000-8,000'",2,0,0.1,0,0.1,159,285.6,1.6 ( 1 ),0.0 ( 1 ),0
28. Reese,"8,000-9,000'",13,3,1,0.3,3.3,"2,259",152,5.0 ( 1 ),1.8 ( 1 ),0
28. Reese,"9,000-10,000'",39,17,4.1,2,26,"5,019",47,NA,NA,0.4
28. Reese,">10,000'",56,36,7,4.8,50.3,"3,154",12.3,NA,NA,2.3
29. Rock,"5,000-6,000'",0,0,0,0,0,0,592.8,NA,NA,0
29. Rock,"6,000-7,000'",0,0,0,0,0,0,210.5,NA,NA,0
29. Rock,"7,000-8,000'",11,1,1,0.1,0.5,81,29.5,6.2 ( 1 ),1.8 ( 1 ),0
29. Rock,"8,000-9,000'",50,15,7,1.9,16.7,271,2.7,NA,NA,0.3
30. Salmon Basin,"5,000-6,000'",74,54,3,1.9,23.9,"209,629","2,056.60",9.1 ( 1 ),8.2 ( 1 ),1.8
30. Salmon Basin,"6,000-7,000'",106,85,8.5,6.7,57.3,"1,270,892","3,572.20",17.7 ( 2 ),16.4 ( 2 ),7.3
30. Salmon Basin,"7,000-8,000'",115,99,13.3,11.9,80,"2,408,997","3,809.10",16.7 ( 2 ),15.8 ( 2 ),11.4
30. Salmon Basin,"8,000-9,000'",115,104,15,14.3,88.4,"1,480,838","1,935.60",16.5 ( 5 ),16.3 ( 5 ),12.9
